target,model,positives,support,threshold,precision,recall,f1,balanced_accuracy,pr_auc,roc_auc,tn,fp,fn,tp
RNF,dummy_most_frequent@tuned_f2,4,2000,0.0,0.002,1.0,0.003992015968063872,0.5,0.002,0.5,0,1996,0,4
RNF,decision_tree_balanced@tuned_f2,4,2000,0.0,0.002,1.0,0.003992015968063872,0.5,0.002,0.4907314629258517,0,1996,0,4
RNF,dummy_most_frequent@0.50,4,2000,0.5,0.0,0.0,0.0,0.5,0.002,0.5,1996,0,4,0
RNF,decision_tree_balanced@0.50,4,2000,0.5,0.0,0.0,0.0,0.4907314629258517,0.002,0.4907314629258517,1959,37,4,0
TWF,hist_gradient_weighted@tuned_f2,9,2000,0.054846159300971406,0.11428571428571428,0.8888888888888888,0.20253164556962025,0.9288743791506222,0.41942586627468137,0.984262514649255,1929,62,1,8
TWF,hist_gradient_weighted@0.50,9,2000,0.5,0.20833333333333334,0.5555555555555556,0.30303030303030304,0.7730063061554775,0.41942586627468137,0.984262514649255,1972,19,4,5
TWF,logistic_balanced@0.50,9,2000,0.5,0.04736842105263158,1.0,0.09045226130653267,0.9545454545454546,0.3013428386851869,0.9784586193425973,1810,181,0,9
TWF,logistic_balanced@tuned_f2,9,2000,0.8721854442997402,0.08571428571428572,0.6666666666666666,0.1518987341772152,0.8172610078687427,0.3013428386851869,0.9784586193425973,1927,64,3,6
TWF,logistic_smote@0.50,9,2000,0.5,0.05357142857142857,1.0,0.1016949152542373,0.9600703164239076,0.3009949551652672,0.9794073329984933,1832,159,0,9
TWF,logistic_smote@tuned_f2,9,2000,0.8020459092726221,0.07954545454545454,0.7777777777777778,0.14432989690721648,0.8685473519727663,0.3009949551652672,0.9794073329984933,1910,81,2,7
TWF,random_forest_balanced@tuned_f2,9,2000,0.09885555970501465,0.07792207792207792,0.6666666666666666,0.13953488372093023,0.8155030972710531,0.18777593726389818,0.9712037502092751,1920,71,3,6
TWF,random_forest_balanced@0.50,9,2000,0.5,0.0,0.0,0.0,0.5,0.18777593726389818,0.9712037502092751,1991,0,9,0
TWF,decision_tree_balanced@0.50,9,2000,0.5,0.11320754716981132,0.6666666666666666,0.1935483870967742,0.8215302193202745,0.10465893901420216,0.8237345834030916,1944,47,3,6
TWF,decision_tree_balanced@tuned_f2,9,2000,0.9849909285832095,0.19047619047619047,0.4444444444444444,0.26666666666666666,0.7179530107706903,0.10465893901420216,0.8237345834030916,1974,17,5,4
TWF,random_forest_smote@tuned_f2,9,2000,0.06778741373360982,0.0594059405940594,0.6666666666666666,0.10909090909090909,0.8094759752218316,0.08766599140676207,0.9489926893241809,1896,95,3,6
TWF,random_forest_smote@0.50,9,2000,0.5,0.12,0.3333333333333333,0.17647058823529413,0.6611418047882136,0.08766599140676207,0.9489926893241809,1969,22,6,3
TWF,dummy_most_frequent@tuned_f2,9,2000,0.0,0.0045,1.0,0.008959681433549029,0.5,0.0045,0.5,0,1991,0,9
TWF,dummy_most_frequent@0.50,9,2000,0.5,0.0,0.0,0.0,0.5,0.0045,0.5,1991,0,9,0
